AAC,18,6,10,19,4,13,14,17,5,9,8,16,15,12,7,2,11,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASDC,133,145,333,184,302,72,271,44,147,289,6,173,187,163,84,376,5,76,182,183,60,230,283,169,273,89,305,37,117,398,189,252,308,303,73,216,48,171,109,225,382,227,243,328,180,236,79,320,83,82,383,223,57,115,255,50,176,174,323,224,148,355,62,116,391,56,75,254,65,14,315,149,297,43,222,322,16,197,340,165,67,168,194,17,142,262,260,317,11,151,9,100,325,3,294,63,68,160,112,167,240,143,311,15,336,0,105,231,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKSAAGP,36,56,32,31,57,82,11,87,7,6,37,17,30,88,83,38,93,16,5,86,58,71,51,42,13,55,41,64,84,61,91,34,80,78,66,92,43,63,1,67,33,59,97,68,89,12,46,94,96,9,85,53,39,72,19,26,62,21,47,28,76,98,65,27,22,49,60,77,15,10,52,99,18,44,14,2,90,79,40,8,35,29,69,24,45,73,74,95,48,0,50,70,4,25,75,20,3,23,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKSAAP,1519,55,1287,354,25,1384,958,583,356,643,1305,352,1060,592,949,943,630,645,627,867,376,1074,16,1008,401,1037,83,951,942,315,1401,1351,548,557,2,337,562,1588,1515,149,534,349,67,620,1346,515,751,73,567,1311,971,1367,451,1022,263,668,320,417,42,303,419,1112,881,43,817,302,1284,274,656,1071,1449,582,1057,175,17,15,883,973,511,1031,662,59,1511,151,223,382,744,915,192,1382,809,1125,189,1517,168,468,47,1348,394,565,842,888,316,1269,237,694,623,651,631,411,723,916,357,969,980,989,1303,856,183,272,252,244,242,225,224,293,415,983,442,805,467,76,815,414,665,1044,660,167,1360,74,1203,1094,499,1205,45,589,1216,1111,227,5,725,543,622,1431,413,1385,782,100,791,297,405,862,542,65,1056,311,143,23,594,317,60,1023,240,82,840,477,195,14,300,336,1215,905,305,412,816,332,851,62,103,0,294,117,3,560,340,105,63
DDE,283,328,395,393,161,135,180,235,334,342,322,392,390,389,374,165,140,323,25,132,39,333,285,148,84,279,69,307,7,261,246,78,194,112,176,153,94,113,308,309,57,229,111,44,129,179,108,355,260,175,21,256,145,157,383,4,388,150,76,109,37,55,174,59,284,244,83,253,239,314,193,48,127,183,348,102,352,11,91,23,171,168,394,68,115,255,154,172,349,351,391,234,162,228,156,297,248,293,222,354,337,149,335,331,74,327,13,192,282,303,2,211,197,271,382,184,237,47,316,245,167,196,320,304,224,100,262,147,163,72,9,289,12,14,65,40,151,195,191,142,225,274,242,43,300,315,45,143,332,117,263,302,5,82,305,317,16,105,155,17,357,223,227,252,103,8,15,160,71,340,51,60,189,67,42,231,3,240,311,62,336,294,0,63,,,,,,,,,,,,,
DPC,334,309,129,147,174,156,374,229,6,342,148,279,383,211,239,194,333,268,220,179,261,260,84,114,312,335,272,271,68,222,175,246,145,256,228,83,37,308,184,43,283,349,343,304,149,23,55,262,320,314,102,197,91,111,59,352,394,224,11,72,289,160,45,47,331,48,382,191,163,354,303,322,116,42,252,351,109,76,183,115,168,167,151,7,245,357,9,317,274,225,255,40,82,13,242,143,108,297,12,192,2,17,71,293,223,8,4,67,51,227,337,237,117,332,142,300,302,16,195,263,74,316,189,60,14,65,294,311,103,100,231,340,305,240,315,62,5,105,336,15,3,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAAC,1,2,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDPC,7,6,5,16,21,9,13,17,8,22,12,1,19,14,10,18,2,3,15,23,20,4,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTPC,6,28,52,106,58,35,87,64,59,91,42,66,48,37,7,108,113,76,73,92,98,65,40,21,8,78,60,9,5,25,49,110,29,68,96,117,72,12,13,17,53,107,70,105,94,101,85,89,93,118,43,54,112,97,109,95,22,116,44,121,90,19,74,1,119,114,15,50,115,122,75,77,10,3,102,2,79,99,123,18,14,23,103,100,24,104,120,20,124,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAAC,12,18,8,13,5,9,14,19,15,10,20,11,21,16,22,1,3,7,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QSOrder,4,37,17,24,32,8,5,29,12,38,25,18,22,28,33,9,21,31,14,13,34,16,44,27,3,39,36,30,11,20,7,19,35,26,23,15,2,41,43,42,45,10,1,6,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCNumber,4,5,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
